Species,VGNC ID (gene),Approved symbol,Approved name,Human gene ortholog HGNC ID
Macaque,VGNC:109689,H2AC21,H2A clustered histone 21,HGNC:20508
Macaque,VGNC:109691,H2AC25,H2A clustered histone 25,HGNC:20507
Macaque,VGNC:109696,H2AZ1,H2A.Z variant histone 1,HGNC:4741
Macaque,VGNC:81324,H2AZ2,H2A.Z variant histone 2,HGNC:20664
Macaque,VGNC:109697,MACROH2A1,macroH2A.1 histone,HGNC:4740
Macaque,VGNC:109695,MACROH2A2,macroH2A.2 histone,HGNC:14453
Macaque,VGNC:109694,H2AX,H2A.X variant histone,HGNC:4739
Macaque,VGNC:99938,H2AJ,H2A.J histone,HGNC:14456
Macaque,VGNC:109669,H2AB1,H2A.B variant histone 1,HGNC:22516
Macaque,VGNC:109668,H2AB2,H2A.B variant histone 2,HGNC:18298
Macaque,VGNC:109670,H2AB3,H2A.B variant histone 3,HGNC:14455
Macaque,VGNC:109693,H2AP,H2A.P histone,HGNC:18417
Macaque,VGNC:109692,H2AL3P,"H2A.L variant histone 3, pseudogene",HGNC:53960
,,,,
Macaque,VGNC:109700,H2BC1,H2B clustered histone 1,HGNC:18730
Macaque,VGNC:109699,H2BC2,H2B clustered histone 2,HGNC:18719
Macaque,VGNC:109698,H2BC3,H2B clustered histone 3,HGNC:4751
Macaque,VGNC:109701,H2BC4,H2B clustered histone 4,HGNC:4757
Macaque,VGNC:109703,H2BC5,H2B clustered histone 5,HGNC:4747
Macaque,VGNC:109702,H2BC6,H2B clustered histone 6,HGNC:4753
Macaque,VGNC:109706,H2BC7,H2B clustered histone 7,HGNC:4752
Macaque,VGNC:109705,H2BC8,H2B clustered histone 8,HGNC:4746
Macaque,VGNC:109704,H2BC9,H2B clustered histone 9,HGNC:4755
Macaque,VGNC:109707,H2BC10,H2B clustered histone 10,HGNC:4756
Macaque,VGNC:109708,H2BC11,H2B clustered histone 11,HGNC:4761
Macaque,VGNC:109709,H2BC12,H2B clustered histone 12,HGNC:13954
Macaque,VGNC:109712,H2BC13,H2B clustered histone 13,HGNC:4748
Macaque,VGNC:109710,H2BC14,H2B clustered histone 14,HGNC:4750
Macaque,VGNC:109711,H2BC15,H2B clustered histone 15,HGNC:4749
Macaque,VGNC:109713,H2BC17,H2B clustered histone 17,HGNC:4758
Macaque,VGNC:109715,H2BC18,H2B clustered histone 18,HGNC:24700
Macaque,VGNC:109714,H2BC19P,"H2B clustered histone 19, pseudogene",HGNC:20517
Macaque,VGNC:109718,H2BC20P,"H2B clustered histone 20, pseudogene",HGNC:20516
Macaque,VGNC:109716,H2BC21,H2B clustered histone 21,HGNC:4760
Macaque,VGNC:109717,H2BC26,H2B clustered histone 26,HGNC:20514
Macaque,VGNC:109721,H2BC27,H2B clustered histone 27,HGNC:20515
Macaque,VGNC:109720,H2BK1,H2B.K variant histone 1,HGNC:53833
Macaque,VGNC:109719,H2BL1P,"H2B.L histone variant 1, pseudogene",HGNC:54442
Macaque,VGNC:109724,H2BW1,H2B.W histone 1,HGNC:27252
Macaque,VGNC:109723,H2BW1B,H2B.W histone 1B,HGNC:27252
Macaque,VGNC:109722,H2BW1C,H2B.W histone 1C,HGNC:27252
Macaque,VGNC:109725,H2BW2A,H2B.W histone 2A,HGNC:27867
Macaque,VGNC:109727,H2BW2B,H2B.W histone 2B,HGNC:27867
Macaque,VGNC:109726,H2BW2C,H2B.W histone 2C,HGNC:27867
Macaque,VGNC:109728,H2BW2D,H2B.W histone 2D,HGNC:27867
,,,,
Macaque,VGNC:109733,H3C1,H3 clustered histone 1,HGNC:4766
Macaque,VGNC:109734,H3C2,H3 clustered histone 2,HGNC:4776
Macaque,VGNC:109732,H3C3,H3 clustered histone 3,HGNC:4768
Macaque,VGNC:109737,H3C6,H3 clustered histone 6,HGNC:4769
Macaque,VGNC:109736,H3C7,H3 clustered histone 7,HGNC:4773
Macaque,VGNC:109735,H3C8,H3 clustered histone 8,HGNC:4772
Macaque,VGNC:109740,H3C10,H3 clustered histone 10,HGNC:4775
Macaque,VGNC:109738,H3C11,H3 clustered histone 11,HGNC:4771
Macaque,VGNC:109739,H3C12,H3 clustered histone 12,HGNC:4774
Macaque,VGNC:109741,H3C13,H3 clustered histone 13,HGNC:25311
Macaque,VGNC:109742,H3C15,H3 clustered histone 15,HGNC:20505
Macaque,VGNC:109731,H3-3A,H3.3 histone A,HGNC:4764
Macaque,VGNC:109729,H3-3B,H3.3 histone B,HGNC:4765
Macaque,VGNC:109730,H3-4,"H3.4 histone, cluster member",HGNC:4778
Macaque,VGNC:109743,H3Y1,H3.Y histone 1,HGNC:43735
,,,,
Macaque,VGNC:109753,H4C1,H4 clustered histone 1,HGNC:4781
Macaque,VGNC:109752,H4C2,H4 clustered histone 2,HGNC:4789
Macaque,VGNC:109754,H4C3,H4 clustered histone 3,HGNC:4787
Macaque,VGNC:109757,H4C4,H4 clustered histone 4,HGNC:4782
Macaque,VGNC:109755,H4C5,H4 clustered histone 5,HGNC:4790
Macaque,VGNC:109756,H4C6,H4 clustered histone 6,HGNC:4783
Macaque,VGNC:109758,H4C8,H4 clustered histone 8,HGNC:4788
Macaque,VGNC:109760,H4C9,H4 clustered histone 9,HGNC:4793
Macaque,VGNC:109759,H4C11,H4 clustered histone 11,HGNC:4785
Macaque,VGNC:109762,H4C12,H4 clustered histone 12,HGNC:4784
Macaque,VGNC:109761,H4C13,H4 clustered histone 13,HGNC:4791
Macaque,VGNC:109763,H4C14,H4 clustered histone 14,HGNC:4794
Macaque,VGNC:109765,H4C15,H4 clustered histone 15,HGNC:29607
Macaque,VGNC:109764,H4C16,H4 histone 16,HGNC:20510
